"filename", "language", "JavaScript", "comment", "blank", "total"
"/Users/m.curtis/myThings/code/invoke/rpa-testing/src/app/Modules/InputForm.js", "JavaScript", 27, 0, 4, 31
"Total", "-", 27, 0, 4, 31
